title,date,description
Circle officially adds native USDC on Aptos mainnet,2025-01-30 16:22:00,"Circle’s digital dollar, USD Coin, is now available natively on the layer-1 blockchain Aptos, empowering developers and users. USDC (USDC) goes live natively on Aptos (APT) about two months after Circle announced that the stablecoin would be launching on the…"
Here’s why Aptos price may jump 85% as active addresses soar,2025-01-26 17:06:00,"Aptos price has remained under pressure this year even as the network experienced strong on-chain metrics.  Aptos (APT) retreated to $8.35 on Sunday, its lowest level since Nov. 5 last year. It has crashed by about 45% from its highest…"
Aptos integrates with Chainlink for off-chain access,2025-01-09 19:24:00,"Aptos has integrated Chainlink Data Feeds, enabling developers on its blockchain to access trusted off-chain data for building decentralized applications. The move, announced by Aptos (APT), enhances the scalability and security of Aptos-based applications by leveraging Chainlink’s tamper-proof and reliable…"
Aave v3 deploys on Aptos testnet,2025-01-07 18:15:00,Aave has deployed its third-generation lending protocol on the Aptos testnet as part of a 2025 expansion pack.
"ENS, Aptos, Flare: top cryptocurrencies to watch this week",2025-01-05 17:47:00,"Cryptocurrencies remained on edge last week as Bitcoin struggled to move above the key resistance at $100,000.  The recent gains could accelerate this week as investors move back to the office after the Christmas and New Year break and as…"
Aptos price chart pattern points to a 42% jump,2024-12-12 15:02:00,"Aptos, the fast-growing Layer-2 network, has rallied over the past four months, with technical indicators pointing to a potential 120% jump. Aptos (APT) reached $13.60 on Dec. 12, marking a 215% increase from its lowest level in August this year.…"
Aptos expands presence in Middle East with regional Abu Dhabi office,2024-12-11 09:06:00,"Aptos Foundation is opening a regional office in Abu Dhabi in a bid to foster partnerships and support projects focused on the Aptos ecosystem. Aptos Foundation, the organization behind the Aptos (APT) blockchain, is opening a regional office in Abu…"
Circle’s USDC to launch on Aptos with Stripe adding support,2024-11-21 15:03:00,"Aptos Foundation announced that Circle’s USDC stablecoin and Cross-Chain Transfer Protocol will launch on the Aptos blockchain.  Along with this launch, Stripe is also adding support for Aptos (APT) in its crypto payment products, a move aimed at streamlining payments…"
Pump.fun clone Emojicoin goes live on Aptos blockchain,2024-11-20 10:11:00,"Aptos, the blockchain network backed by a16z, has seen its first pump.fun clone emerge, as meme coin mania continues to thrive. Emojicoin, a new platform built on a Move-based blockchain, has gone live on the Aptos (APT) blockchain, offering users…"
"BlackRock’s BUIDL joins Aptos, Arbitrum, Avalanche, Optimism and Polygon",2024-11-13 15:39:00,"BlackRock is expanding its tokenized fund — BUIDL — to multiple blockchains. BlackRock has announced the expansion of its BlackRock USD Institutional Digital Liquidity Fund — BUIDL — which is tokenized by Securitize, to five additional blockchains: Aptos (APT), Arbitrum…"
APT soars 20% as Bitwise rolls out Aptos staking ETP on Swiss exchange,2024-11-12 10:20:00,"Bitwise has launched the world’s first Aptos Staking exchange-traded product, offering staking rewards of approximately 4.7% net of fees. Aptos (APT) soared 20% to $12.9 on Tuesday, Nov. 12, after U.S.-based fund manager Bitwise announced plans to debut the world’s…"
South Korea’s largest wireless carrier SK Telecom adds support for USDT stablecoin on Aptos,2024-11-01 07:15:00,Aptos Foundation has teamed up with SK Telecom to bring Tether’s USDT stablecoin to T wallet. Aptos Foundation is set to integrate Tether’s (USDT) stablecoin into SK Telecom’s web3 product called “T wallet” in a bid to expand access to…
Ripple-SEC battle to enter 2025; Aptos partners with FLock.io; Investors eye new AI coin,2024-10-28 10:26:00,"With the Ripple-SEC battle possibly stretching into 2025, XRP and Aptos investors are turning their attention to a new coin: Intel Markets. #partnercontent"
APT coin price prediction: Is Aptos ready to ‘kill’ Ethereum and Solana?,2024-10-15 18:52:00,The Aptos token price is increasing due to all the positive buzz surrounding the project. Let’s take a closer look at APT (APT) coin so we can understand the project and the factors that are currently influencing its price. What…
"Aptos surges 20% in 24 hours, open interest reaches 6-month high",2024-10-13 11:16:00,"Aptos, a layer 1 blockchain platform, saw its native token record an impressive rally, gaining strong focus from short-term traders. Aptos (APT) surged 20% in the past 24 hours and is trading at $10.24 at last check Sunday. Its market…"
"Aptos bulls push for gains, Bittensor climbs, DigiHorse attracts investors",2024-10-11 14:34:00,"Aptos surges ahead of a $100 million token unlock, while Bittensor and DigiHorse show strong growth potential, drawing investor interest. #pressrelease"
